error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
1449,95359,95360,0x002E8FE0,0x002E9000,45512,45515,3,2,0xB51BBA88,0x6A377510,0xA8DDD443,3,2,True
1450,95360,95361,0x002E9000,0x002E9020,45515,46184,669,668,0xA8DDD443,0x51BBA886,0x8E598D4A,>64,unknown,False
1451,95487,95488,0x002E9FE0,0x002EA000,46310,46313,3,2,0x85087C4F,0x0A10F89E,0x2843E278,3,2,True
1452,95488,95489,0x002EA000,0x002EA020,46313,47436,1123,1122,0x2843E278,0x5087C4F1,0xFE3D5239,>64,unknown,False
1453,95615,95616,0x002EAFE0,0x002EB000,47562,47565,3,2,0x497A05CB,0x92F40B96,0x4BD02E59,3,2,True
1454,95616,95617,0x002EB000,0x002EB020,47565,48791,1226,1225,0x4BD02E59,0x97A05CB2,0xBB4FC1AB,>64,unknown,False
1455,95743,95744,0x002EBFE0,0x002EC000,48917,48920,3,2,0xA016D3B5,0x402DA76A,0x00B69DAA,3,2,True
1456,95744,95745,0x002EC000,0x002EC020,48920,50044,1124,1123,0x00B69DAA,0x016D3B55,0x6EC5BF65,>64,unknown,False
1457,95871,95872,0x002ECFE0,0x002ED000,50170,50173,3,2,0x5CDEE1FA,0xB9BDC3F5,0xE6F70FD4,3,2,True
1458,95872,95873,0x002ED000,0x002ED020,50173,50851,678,677,0xE6F70FD4,0xCDEE1FA9,0x5908ADC8,>64,unknown,False
1459,95999,96000,0x002EDFE0,0x002EE000,50977,50980,3,2,0x274DE530,0x4E9BCA61,0x3A6F2985,3,2,True
1460,96000,96001,0x002EE000,0x002EE020,50980,52117,1137,1136,0x3A6F2985,0x74DE530A,0x27179B70,>64,unknown,False
1461,96127,96128,0x002EEFE0,0x002EF000,52243,52246,3,2,0x9DF3D70C,0x3BE7AE18,0xEF9EB863,3,2,True
1462,96128,96129,0x002EF000,0x002EF020,52246,53660,1414,1413,0xEF9EB863,0xDF3D70C6,0xEA8D7311,>64,unknown,False
1463,96255,96256,0x002EFFE0,0x002F0000,53786,53789,3,2,0x665DE0B1,0xCCBBC162,0x32EF058B,3,2,True
1464,96256,96257,0x002F0000,0x002F0020,53789,54929,1140,1139,0x32EF058B,0x65DE0B16,0x61357813,>64,unknown,False
1465,96383,96384,0x002F0FE0,0x002F1000,55055,55058,3,2,0x347D9546,0x68FB2A8C,0xA3ECAA32,3,2,True
1466,96384,96385,0x002F1000,0x002F1020,55058,56479,1421,1420,0xA3ECAA32,0x47D95464,0xA688A8E4,>64,unknown,False
1467,96511,96512,0x002F1FE0,0x002F2000,56605,56608,3,2,0x8ADE26B7,0x15BC4D6F,0x56F135BE,3,2,True
1468,96512,96513,0x002F2000,0x002F2020,56608,57736,1128,1127,0x56F135BE,0xADE26B7D,0x058DD8AA,>64,unknown,False
1469,96639,96640,0x002F2FE0,0x002F3000,57862,57865,3,2,0xE5E8B925,0xCBD1724A,0x2F45C928,3,2,True
1470,96640,96641,0x002F3000,0x002F3020,57865,58542,677,676,0x2F45C928,0x5E8B9250,0xAC03CC96,>64,unknown,False
1471,96767,96768,0x002F3FE0,0x002F4000,58668,58671,3,2,0xC04D6D7D,0x809ADAFB,0x026B6BEE,3,2,True
1472,96768,96769,0x002F4000,0x002F4020,58671,59817,1146,1145,0x026B6BEE,0x04D6D7DD,0xECD04082,>64,unknown,False
1473,96895,96896,0x002F4FE0,0x002F5000,59943,59946,3,2,0x3FE089E5,0x7FC113CB,0xFF044F2C,3,2,True
1474,96896,96897,0x002F5000,0x002F5020,59946,61246,1300,1299,0xFF044F2C,0xFE089E59,0x95896012,>64,unknown,False
1475,97023,97024,0x002F5FE0,0x002F6000,61372,61375,3,2,0xACA83C9C,0x59507938,0x6541E4E0,3,2,True
1476,97024,97025,0x002F6000,0x002F6020,61375,62507,1132,1131,0x6541E4E0,0xCA83C9C1,0xC7427B49,>64,unknown,False
1477,97151,97152,0x002F6FE0,0x002F7000,62633,62636,3,2,0x0B9010CF,0x1720219F,0x5C80867E,3,2,True
1478,97152,97153,0x002F7000,0x002F7020,62636,63374,738,737,0x5C80867E,0xB9010CFD,0x3D841745,>64,unknown,False
1479,97279,97280,0x002F7FE0,0x002F8000,63500,63503,3,2,0x730669C2,0xE60CD384,0x98334E10,3,2,True
1480,97280,97281,0x002F8000,0x002F8020,63503,64643,1140,1139,0x98334E10,0x30669C21,0xB3AC95CF,>64,unknown,False
1481,97407,97408,0x002F8FE0,0x002F9000,64769,64772,3,2,0x5E8F2B6A,0xBD1E56D4,0xF4795B53,3,2,True
1482,97408,97409,0x002F9000,0x002F9020,64772,557,1321,1320,0xF4795B53,0xE8F2B6A7,0xB79C32BE,>64,unknown,False
1483,97535,97536,0x002F9FE0,0x002FA000,683,686,3,2,0xE6357704,0xCC6AEE08,0x31ABB820,3,2,True
1484,97536,97537,0x002FA000,0x002FA020,686,1825,1139,1138,0x31ABB820,0x63577041,0xAC49C79E,>64,unknown,False
1485,97663,97664,0x002FAFE0,0x002FB000,1951,1954,3,2,0x969F221F,0x2D3E443E,0xB4F910FB,3,2,True
1486,97664,97665,0x002FB000,0x002FB020,1954,2696,742,741,0xB4F910FB,0x69F221F7,0x6F016EB6,>64,unknown,False
1487,97791,97792,0x002FBFE0,0x002FC000,2822,2825,3,2,0xF1DB820D,0xE3B7041A,0x8EDC106A,3,2,True
1488,97792,97793,0x002FC000,0x002FC020,2825,3967,1142,1141,0x8EDC106A,0x1DB820D5,0xB0A4F212,>64,unknown,False
1489,97919,97920,0x002FCFE0,0x002FD000,4093,4096,3,2,0xC31CD738,0x8639AE70,0x18E6B9C3,3,2,True
1490,97920,97921,0x002FD000,0x002FD020,4096,5422,1326,1325,0x18E6B9C3,0x31CD7386,0x9735A44E,>64,unknown,False
1491,98047,98048,0x002FDFE0,0x002FE000,5548,5551,3,2,0x8F13530F,0x1E26A61E,0x789A9879,3,2,True
1492,98048,98049,0x002FE000,0x002FE020,5551,6683,1132,1131,0x789A9879,0xF13530F3,0x87EF6B6F,>64,unknown,False
1493,98175,98176,0x002FEFE0,0x002FF000,6809,6812,3,2,0xC7D9678B,0x8FB2CF17,0x3ECB3C5E,3,2,True
1494,98176,98177,0x002FF000,0x002FF020,6812,8833,2021,2020,0x3ECB3C5E,0x7D9678BD,0xA15B6FCC,>64,unknown,False
1495,98303,98304,0x002FFFE0,0x00300000,8959,8962,3,2,0xBB25039F,0x764A073E,0xD9281CF9,3,2,True
