error_number,current_index,next_index,current_byte_offset,next_byte_offset,counter_current,counter_next,counter_delta,counter_missing_samples,lfsr_current,lfsr_expected_next,lfsr_received,lfsr_steps_to_received,lfsr_missing_samples,next_sample_at_4096_boundary
9301,2111125,2111126,0x0406D2A0,0x0406D2C0,59637,59640,3,2,0xF0BD521E,0xE17AA43C,0x85EA90F3,3,2,False
9302,2111138,2111139,0x0406D440,0x0406D460,59652,59655,3,2,0xA90F3C54,0x521E78A9,0x4879E2A4,3,2,False
9303,2111152,2111153,0x0406D600,0x0406D620,59668,59671,3,2,0x3C548E1E,0x78A91C3D,0xE2A470F7,3,2,False
9304,2111164,2111165,0x0406D780,0x0406D7A0,59682,59685,3,2,0x2387BF13,0x470F7E26,0x1C3DF898,3,2,False
9305,2111177,2111178,0x0406D920,0x0406D940,59697,59700,3,2,0xDF898C92,0xBF131924,0xFC4C6491,3,2,False
9306,2111190,2111191,0x0406DAC0,0x0406DAE0,59712,59715,3,2,0xC6491632,0x8C922C64,0x3248B191,3,2,False
9307,2111203,2111204,0x0406DC60,0x0406DC80,59727,59730,3,2,0x8B1919A8,0x16323350,0x58C8CD43,3,2,False
9308,2111216,2111217,0x0406DE00,0x0406DE20,59742,59745,3,2,0x8CD43C7E,0x19A878FC,0x66A1E3F1,3,2,False
9309,2111229,2111230,0x0406DFA0,0x0406DFC0,59757,59760,3,2,0x1E3F1AEC,0x3C7E35D8,0xF1F8D763,3,2,False
9310,2111231,2111232,0x0406DFE0,0x0406E000,59761,59764,3,2,0xE3F1AEC6,0xC7E35D8D,0x1F8D7637,3,2,True
9311,2111265,2111266,0x0406E420,0x0406E440,59797,59800,3,2,0x53CC6AAC,0xA798D559,0x9E635565,3,2,False
9312,2111279,2111280,0x0406E5E0,0x0406E600,59813,59816,3,2,0x6AACA42E,0xD559485C,0x55652173,3,2,False
9313,2111292,2111293,0x0406E780,0x0406E7A0,59828,59831,3,2,0x52173C0F,0xA42E781E,0x90B9E078,3,2,False
9314,2111305,2111306,0x0406E920,0x0406E940,59843,59846,3,2,0x9E078BD7,0x3C0F17AE,0xF03C5EBA,3,2,False
9315,2111318,2111319,0x0406EAC0,0x0406EAE0,59858,59861,3,2,0xC5EBAD0F,0x8BD75A1E,0x2F5D687A,3,2,False
9316,2111330,2111331,0x0406EC40,0x0406EC60,59872,59875,3,2,0xEB43D10A,0xD687A215,0x5A1E8857,3,2,False
9317,2111344,2111345,0x0406EE00,0x0406EE20,59888,59891,3,2,0xD10AF19F,0xA215E33F,0x88578CFF,3,2,False
9318,2111356,2111357,0x0406EF80,0x0406EFA0,59902,59905,3,2,0xBC67FEBD,0x78CFFD7B,0xE33FF5EE,3,2,False
9319,2111359,2111360,0x0406EFE0,0x0406F000,59907,59909,2,1,0x8CFFD7B8,0x19FFAF70,0x33FF5EE0,2,1,True
9320,2111369,2111370,0x0406F120,0x0406F140,59918,59921,3,2,0xFEBDC0B1,0xFD7B8162,0xF5EE0588,3,2,False
9321,2111381,2111382,0x0406F2A0,0x0406F2C0,59932,59935,3,2,0x702C4105,0xE058820B,0x8162082E,3,2,False
9322,2111393,2111394,0x0406F420,0x0406F440,59946,59949,3,2,0x10417173,0x2082E2E6,0x820B8B9B,3,2,False
9323,2111405,2111406,0x0406F5A0,0x0406F5C0,59960,59963,3,2,0x5C5CDD6E,0xB8B9BADC,0xE2E6EB71,3,2,False
